id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,16.27,2.50,1,35,35,Truck,1,31.26,22.85,23.19,23.02,-1.00,-1.00,-1.00,0
2,5.05,2.02,1,35,35,Car,2,45.93,33.68,34.09,33.89,-1.00,-1.00,-1.00,0
3,4.85,2.12,1,58,58,Car,2,80.46,35.15,35.59,35.39,27.29,0.77,15.48,0
4,5.15,2.12,1,64,64,Car,2,101.82,39.69,41.53,40.54,-1.00,-1.00,-1.00,0
5,5.15,2.02,1,85,85,Car,2,130.59,37.73,40.17,38.96,22.89,0.60,-1.00,0
6,7.48,2.22,1,106,106,Car,2,122.92,28.77,29.92,29.32,36.03,1.25,-1.00,0
7,4.95,2.12,1,123,123,Car,2,196.15,39.03,41.01,40.27,65.87,1.61,46.69,0
8,4.65,2.02,1,149,149,Car,2,234.72,37.01,42.35,39.70,25.00,0.67,15.70,0
9,16.78,2.50,1,162,162,Truck,1,158.32,24.20,24.86,24.60,-1.00,-1.00,-1.00,0
10,16.88,2.50,1,164,164,Truck,1,149.37,22.66,23.12,22.92,100.75,4.35,373.34,0
11,4.75,2.02,1,189,189,Car,1,185.97,24.57,25.12,24.75,21.53,0.86,28.74,0
12,3.74,1.72,1,243,243,Car,1,228.37,22.89,24.32,23.62,19.38,0.81,51.13,0
13,5.05,2.12,1,245,245,Car,1,240.50,24.46,24.88,24.65,48.99,1.97,173.10,0
14,4.45,2.02,1,271,271,Car,1,257.73,22.75,24.36,23.88,21.62,0.93,28.18,0
15,4.55,1.92,1,282,282,Car,1,277.83,23.75,25.21,24.73,12.33,0.49,40.02,0
16,5.05,2.12,1,309,309,Car,1,302.69,24.34,25.82,24.58,19.86,0.81,15.32,0
17,4.95,1.92,1,311,311,Car,1,302.15,23.65,25.23,24.37,33.97,1.37,16.00,0
18,15.36,2.50,1,316,316,Truck,2,296.19,22.83,24.09,23.52,158.60,6.94,-1.00,0
19,15.56,2.50,1,399,399,Truck,2,372.57,22.56,24.10,23.42,60.33,2.66,-1.00,0
20,8.89,2.50,2,217,216,Truck,1,202.48,22.78,24.05,23.56,40.56,1.74,46.92,0
21,4.45,2.02,2,256,255,Car,2,362.50,33.24,37.30,35.71,91.32,2.70,-1.00,0
22,5.05,2.12,2,264,263,Car,1,259.21,23.86,25.30,24.75,12.32,0.50,19.62,0
23,4.85,2.12,2,327,326,Car,1,350.74,24.59,32.18,26.99,12.33,0.50,4.91,0
24,4.85,2.12,21,329,309,Car,2,411.59,31.63,35.14,33.43,62.55,1.97,-1.00,0
25,4.85,2.02,30,173,144,Car,2,228.97,38.01,42.08,40.05,40.49,1.03,-1.00,0
26,4.45,1.92,32,352,321,Car,1,319.79,24.44,26.66,24.99,14.24,0.57,15.21,1
27,3.84,1.82,37,393,357,Car,1,409.17,24.75,33.82,28.75,71.55,2.24,10.01,0
28,17.48,2.50,37,478,442,Truck,2,409.93,22.16,24.39,23.25,51.77,2.33,369.64,0
29,4.65,1.92,38,347,310,Car,2,411.13,31.37,35.55,33.28,16.74,0.53,145.02,0
30,4.55,2.22,61,372,312,Car,2,408.68,31.43,35.48,32.89,19.96,0.63,413.72,0
31,4.95,2.02,62,414,353,Car,1,410.66,24.86,35.23,29.17,16.54,0.62,10.67,0
32,4.95,2.02,63,514,452,Car,2,411.18,22.36,23.87,22.80,19.11,0.84,125.15,0
33,4.75,2.22,94,539,446,Car,2,408.36,22.65,23.24,22.94,17.29,0.75,35.98,0
34,4.75,2.02,112,377,266,Car,1,319.47,24.23,42.38,30.16,19.85,0.78,4.28,0
35,7.48,2.50,120,437,318,Truck,2,407.86,30.66,33.87,32.18,65.73,2.14,-1.00,0
36,4.24,1.82,133,438,306,Car,1,409.49,30.90,36.07,33.58,32.59,1.05,5.43,1
37,4.85,2.32,146,467,322,Car,2,410.70,30.14,34.05,31.99,28.55,0.94,14187.28,0
38,4.55,2.02,153,576,424,Car,2,412.43,23.43,25.63,24.39,31.70,1.25,14.68,0
39,4.35,1.92,177,502,326,Car,2,413.54,30.59,33.92,31.82,35.96,1.17,1508.65,0
40,7.07,2.43,203,604,402,Car,2,385.98,22.93,24.38,24.06,23.97,0.99,132.25,0
41,4.35,1.82,211,637,427,Car,2,411.16,23.39,24.64,24.13,18.04,0.73,15.79,0
42,5.05,2.12,228,500,273,Car,1,409.77,32.22,40.95,37.68,77.29,2.26,11.74,0
43,5.15,2.12,228,551,324,Car,2,413.02,30.73,33.26,31.99,58.11,1.84,2144.29,0
44,4.45,2.12,247,672,426,Car,2,412.05,23.62,24.90,24.24,27.67,1.16,33.47,0
45,4.24,2.12,275,603,329,Car,2,410.70,30.48,32.54,31.32,52.75,1.73,-1.00,0
46,4.24,1.82,285,545,261,Car,1,403.70,34.73,40.96,38.83,180.97,4.53,13.72,0
47,4.75,2.32,308,648,341,Car,2,412.43,28.76,31.64,30.34,32.16,1.02,56.39,0
48,5.05,1.92,312,606,295,Car,1,410.04,31.97,37.35,34.88,38.29,1.02,-1.00,0
49,4.95,2.02,330,644,315,Car,1,411.13,32.07,34.59,32.74,161.97,4.68,-1.00,0
50,4.75,2.12,330,675,346,Car,2,413.28,28.68,30.68,29.96,23.84,0.83,22.65,0
51,12.03,2.50,337,739,403,Truck,2,408.61,24.51,25.87,25.42,56.97,2.21,40.33,0
52,5.05,2.12,355,702,348,Car,2,411.40,29.15,30.18,29.65,23.57,0.80,271.04,0
53,4.65,2.02,387,734,348,Car,2,413.10,29.16,30.20,29.78,30.62,1.03,74.04,0
54,16.98,2.50,398,807,410,Truck,1,406.82,23.87,25.87,24.88,107.99,4.18,-1.00,0
55,19.20,2.50,441,802,362,Truck,2,367.75,24.09,26.60,25.47,42.38,1.75,52.75,0
56,4.75,2.02,444,749,306,Car,2,411.23,28.93,37.24,33.72,12.48,0.42,4.88,0
57,16.78,2.50,488,900,413,Truck,1,408.04,23.43,26.14,24.77,69.32,2.83,102.42,0
58,17.08,2.50,547,954,408,Truck,2,411.37,24.19,26.37,25.28,26.47,1.01,-1.00,0
59,4.14,2.02,573,852,280,Car,2,411.90,35.86,37.75,36.90,151.03,4.06,18.40,0
60,4.55,2.12,597,900,304,Car,2,403.82,31.83,34.38,33.33,28.69,0.87,3.59,2
61,4.65,2.02,639,862,224,Car,1,407.98,44.13,47.52,45.77,394.20,8.30,28.06,0
62,17.18,2.50,760,1150,391,Truck,1,387.48,23.77,25.89,24.85,248.52,9.90,146.19,0
63,4.45,2.02,778,1039,262,Car,1,409.15,38.92,39.50,39.21,254.67,6.44,-1.00,0
64,10.91,2.43,808,1221,414,Car,1,408.97,23.29,26.57,24.76,34.41,1.38,30.42,0
65,4.45,2.02,884,1140,257,Car,1,407.35,37.85,41.49,39.80,161.03,4.00,131.60,0
66,4.65,1.92,911,1236,326,Car,1,402.65,29.62,32.29,30.99,20.03,0.67,3.10,0
67,4.55,1.92,948,1225,278,Car,1,408.83,35.36,38.46,36.92,94.74,2.46,-1.00,0
68,4.75,1.97,960,1277,318,Car,1,408.78,29.97,34.64,32.25,38.66,1.27,20.48,0
69,4.24,1.82,987,1310,324,Car,1,411.43,30.48,33.72,31.86,34.71,1.03,68.78,0
70,3.74,1.82,991,1272,282,Car,1,408.78,33.76,38.25,36.39,60.08,1.60,77.68,0
71,5.46,2.12,1201,1492,292,Car,1,409.07,33.44,36.60,35.16,245.93,6.90,46.74,1
72,17.08,2.50,1201,1583,383,Truck,1,387.79,24.25,26.53,25.39,20.09,0.77,-1.00,0
73,4.75,1.92,1218,1477,260,Car,1,410.07,37.37,42.29,39.60,16.22,0.42,6.34,0
74,4.45,1.92,1233,1524,292,Car,2,409.01,31.65,37.04,35.14,-1.00,-1.00,-1.00,0
75,4.14,1.82,1254,1548,295,Car,2,402.40,31.54,35.44,34.24,28.05,0.84,-1.00,1
76,4.75,1.92,1259,1669,411,Car,1,410.41,24.24,26.23,25.03,57.84,2.22,369.11,0
77,11.93,2.50,1272,1676,405,Truck,2,407.25,24.09,26.41,25.21,25.22,1.03,-1.00,0
78,4.75,2.02,1284,1588,305,Car,2,402.84,30.83,34.20,33.14,33.26,1.08,-1.00,1
79,5.46,2.12,1314,1603,290,Car,2,410.27,31.24,39.47,35.55,30.61,0.85,14.85,0
80,16.98,2.50,1320,1748,429,Truck,2,407.40,22.76,25.17,23.81,31.32,1.37,-1.00,0
81,4.35,2.02,1345,1649,305,Car,2,410.69,30.57,37.01,33.79,34.43,1.12,-1.00,0
82,4.35,2.02,1371,1681,311,Car,2,411.63,29.66,36.83,33.22,26.47,0.89,-1.00,0
83,4.95,1.92,1393,1709,317,Car,2,409.62,29.28,36.84,32.43,21.86,0.74,-1.00,0
84,4.75,1.92,1423,1740,318,Car,2,409.81,28.94,36.46,32.34,29.98,1.01,3223.86,0
85,4.55,1.92,1425,1779,355,Car,2,410.60,27.97,29.54,29.01,30.02,1.04,8.06,0
86,4.95,1.92,1429,1698,270,Car,1,403.14,35.43,39.79,37.48,17.42,0.49,3.90,1
87,4.95,1.92,1443,1685,243,Car,1,409.75,41.97,42.80,42.37,346.91,8.10,295.85,0
88,4.24,2.12,1446,1780,335,Car,2,410.99,27.33,35.56,30.78,22.54,0.82,-1.00,0
89,5.15,2.02,1487,1761,275,Car,1,402.00,35.02,38.58,36.70,69.11,1.79,115.26,1
90,16.98,2.50,1498,1927,430,Truck,1,407.43,22.66,24.77,23.76,53.51,2.19,-1.00,0
91,4.55,2.02,1500,1835,336,Car,2,410.35,29.86,31.80,30.64,63.56,2.12,26.11,0
92,5.05,2.12,1519,1822,304,Car,2,409.40,32.39,36.95,33.80,46.35,1.42,8.53,0
93,4.45,1.92,1524,1784,261,Car,1,408.65,38.54,39.83,39.32,48.30,1.23,21.99,0
94,17.08,2.50,1569,1990,422,Truck,1,407.89,23.24,25.32,24.23,40.96,1.75,52.57,0
95,5.26,2.02,1570,1810,241,Car,1,411.69,40.65,45.61,42.90,36.26,0.89,9.81,0
96,4.04,1.92,1581,1906,326,Car,2,411.10,30.89,32.46,31.63,86.84,2.73,59.78,1
97,3.94,1.92,1589,1950,362,Car,2,404.08,26.75,29.26,28.00,16.02,0.59,-1.00,0
98,4.14,2.02,1661,1997,337,Car,2,410.32,29.81,31.29,30.54,46.66,1.52,20.65,0
99,3.94,1.82,1689,2023,335,Car,2,410.50,30.02,31.59,30.74,29.63,0.94,24.43,0
100,10.41,2.43,1779,2200,422,Car,2,403.01,22.87,25.15,23.94,91.41,3.99,-1.00,0
101,4.75,2.12,1793,1979,187,Car,2,350.66,44.80,48.14,47.12,301.87,6.58,25.98,0
102,5.05,2.12,1794,2025,232,Car,2,411.28,41.59,46.66,44.54,48.61,1.17,-1.00,0
103,4.95,2.12,1829,2104,276,Car,2,402.31,33.95,38.05,36.60,52.50,1.54,-1.00,0
104,19.40,2.50,1832,2233,402,Truck,1,385.33,23.10,24.98,24.03,15.23,0.64,180.68,0
105,4.45,1.92,1867,2175,309,Car,1,403.77,30.93,34.32,32.79,-1.00,-1.00,-1.00,1
106,4.85,1.92,1881,2185,305,Car,1,403.96,32.47,34.20,33.22,14.99,0.45,74.32,0
107,4.75,2.02,1905,2208,304,Car,1,410.61,33.35,34.65,33.89,20.17,0.58,14.75,0
108,4.35,2.22,1911,2162,252,Car,2,411.10,39.75,42.53,40.98,84.69,2.06,6.01,1
109,5.05,2.02,1933,2249,317,Car,1,410.98,31.72,33.54,32.54,34.21,1.03,192.81,0
110,4.55,2.02,1942,2191,250,Car,2,408.91,40.50,41.52,41.08,39.18,0.95,34.32,0
111,4.65,1.92,1957,2270,314,Car,1,409.47,32.15,33.10,32.73,22.09,0.67,19.90,0
112,4.65,2.32,1965,2211,247,Car,2,408.08,40.84,42.12,41.52,28.67,0.69,34.03,0
113,4.65,2.02,2030,2355,326,Car,2,409.75,29.31,33.54,31.54,104.72,3.57,30.70,1
114,4.24,1.82,2042,2341,300,Car,1,410.71,33.70,35.61,34.35,91.30,2.70,37.84,0
115,16.78,2.50,2043,2472,430,Truck,1,409.58,23.00,24.91,23.88,184.82,7.63,149.15,0
116,13.04,2.50,2070,2470,401,Truck,2,391.55,23.44,25.39,24.48,24.89,1.05,-1.00,0
117,4.14,1.82,2079,2509,431,Car,1,408.90,22.18,25.48,23.78,23.63,0.97,22.46,0
118,4.85,1.92,2117,2352,236,Car,1,329.08,33.33,39.19,35.03,9.60,0.28,4.30,0
119,4.65,1.92,2235,2532,298,Car,1,410.02,33.55,35.09,34.54,59.89,1.74,4.93,1
120,3.74,1.82,2247,2585,339,Car,2,386.52,26.82,30.06,28.59,133.00,4.59,36.09,0
121,4.95,1.92,2335,2618,284,Car,1,402.26,34.05,37.02,35.55,127.12,3.52,12.36,1
122,9.50,2.50,2353,2757,405,Truck,2,406.26,24.70,25.62,25.16,135.66,5.42,-1.00,1
123,16.98,2.50,2354,2769,416,Truck,1,388.27,22.28,24.32,23.40,50.18,2.08,-1.00,0
124,9.50,2.50,2368,2807,440,Truck,2,408.20,22.49,23.90,23.26,11.15,0.49,-1.00,0
125,4.55,2.02,2369,2685,317,Car,2,407.93,25.47,38.80,32.30,10.61,0.39,5.76,0
126,4.95,2.22,2411,2747,337,Car,2,401.37,23.57,36.33,29.88,39.31,1.66,-1.00,0
127,7.98,2.32,2425,2749,325,Car,1,399.70,28.97,32.98,30.85,124.19,3.77,-1.00,0
128,3.84,1.92,2455,2791,337,Car,2,374.88,22.82,33.65,27.90,11.54,0.50,-1.00,0
129,6.16,2.32,2461,2773,313,Car,1,410.20,29.49,37.01,32.88,11.62,0.39,6.55,0
130,15.56,2.50,2509,2923,415,Truck,1,406.71,23.40,25.61,24.57,111.50,4.60,56.88,0
131,4.04,1.92,2512,2804,293,Car,1,410.04,30.77,39.65,35.12,33.85,1.10,10.18,0
132,4.45,1.92,2538,2890,353,Car,2,410.23,28.21,31.02,29.16,96.92,3.24,16.21,0
133,4.65,1.92,2557,2856,300,Car,1,410.08,31.60,37.71,34.30,61.81,1.77,33.20,0
134,4.75,2.12,2594,2952,359,Car,2,409.79,27.32,29.98,28.64,57.70,2.10,-1.00,0
135,4.80,2.12,2598,2897,300,Car,2,408.31,32.62,36.88,34.17,136.59,3.96,28.51,0
136,4.75,2.02,2612,2913,302,Car,1,408.70,32.84,35.06,33.96,70.29,2.11,40.10,0
137,4.80,2.02,2639,2954,316,Car,1,410.18,30.82,35.42,32.57,34.02,0.97,90.41,0
138,4.35,2.12,2654,2954,301,Car,2,407.82,30.63,35.18,33.99,68.42,2.11,323.47,0
139,4.75,2.02,2659,2977,319,Car,1,411.09,29.66,33.83,32.34,22.09,0.71,20.42,0
140,11.98,2.50,2674,3122,449,Truck,2,409.08,21.93,23.92,22.84,27.50,1.23,-1.00,0
141,4.65,1.92,2681,2994,314,Car,2,408.55,30.35,34.05,32.65,31.46,1.03,13.68,1
142,4.85,2.02,2699,2996,298,Car,2,412.16,29.64,39.60,34.72,17.72,0.59,14.29,0
143,9.50,2.22,2709,3158,450,Car,2,409.67,22.06,23.86,22.82,19.06,0.80,31.79,0
144,17.18,2.50,2720,3159,440,Truck,1,407.14,22.00,24.20,23.19,196.02,8.11,-1.00,0
145,5.05,2.12,2739,3071,333,Car,2,408.71,27.88,34.44,30.79,40.78,1.46,-1.00,0
146,4.75,2.02,2815,3218,404,Car,2,410.09,24.68,26.07,25.44,58.04,2.23,19.19,0
147,3.13,1.92,2853,3155,303,Car,1,409.73,33.75,34.81,33.93,40.80,1.20,4.71,1
148,5.15,2.12,2866,3098,233,Car,1,401.63,41.92,44.47,43.31,208.74,4.81,15.23,0
149,4.55,2.02,2879,3155,277,Car,2,411.15,36.14,38.20,37.26,116.62,3.17,20.35,0
150,5.76,2.43,2883,3184,302,Car,1,408.82,32.51,35.32,33.96,30.02,0.88,6.05,1
151,4.85,1.92,2905,3231,327,Car,2,402.46,29.71,31.49,30.87,19.20,0.62,3.75,0
152,4.65,1.92,2967,3224,258,Car,2,407.91,37.14,41.68,39.69,111.24,2.73,24.24,0
153,4.85,1.92,3031,3309,279,Car,2,408.12,34.88,38.59,36.72,91.77,2.63,-1.00,0
154,5.15,2.22,3093,3379,287,Car,2,408.68,33.78,37.77,35.75,81.04,2.40,-1.00,0
155,16.47,2.50,3110,3515,406,Truck,2,409.03,24.18,26.26,25.26,234.14,9.68,-1.00,0
156,5.15,2.12,3131,3415,285,Car,2,409.16,33.97,38.44,36.04,47.07,1.33,-1.00,0
157,16.98,2.50,3196,3601,406,Truck,1,406.16,23.95,26.15,25.08,-1.00,-1.00,-1.00,0
158,4.55,2.02,3198,3487,290,Car,2,409.33,33.88,37.31,35.43,87.91,2.59,-1.00,0
159,5.05,2.02,3247,3546,300,Car,2,408.84,31.09,36.46,34.20,61.75,1.98,-1.00,0
160,19.50,2.50,3250,3656,407,Truck,1,405.83,23.88,26.10,25.00,33.61,1.38,101.52,0
161,4.95,2.12,3267,3570,304,Car,2,408.46,30.66,37.13,33.72,17.82,0.58,4616.26,0
162,12.23,2.50,3274,3691,418,Truck,2,407.30,23.12,25.55,24.43,16.33,0.68,-1.00,0
163,5.05,2.02,3284,3594,311,Car,2,410.25,31.18,35.36,33.11,17.18,0.52,14.46,1
164,4.35,1.92,3312,3612,301,Car,2,410.94,31.14,38.59,34.26,30.92,0.99,176.95,0
165,9.10,2.50,3321,3745,425,Truck,2,406.56,23.12,24.64,23.98,34.39,1.48,-1.00,0
166,4.14,1.92,3338,3658,321,Car,2,410.42,30.14,34.44,32.08,28.15,0.93,-1.00,0
167,4.35,1.92,3361,3662,302,Car,1,409.71,32.96,34.50,34.04,-1.00,-1.00,-1.00,0
168,4.04,1.82,3364,3684,321,Car,2,410.49,31.18,33.53,32.08,26.12,0.83,28.45,0
169,4.55,1.92,3375,3681,307,Car,1,409.39,32.80,34.04,33.50,13.52,0.40,52.12,0
170,4.65,1.92,3394,3706,313,Car,2,409.93,32.47,33.19,32.86,23.38,0.71,15.27,0
171,5.36,2.12,3398,3714,317,Car,1,410.15,32.07,32.91,32.46,25.06,0.77,-1.00,0
172,9.60,2.50,3400,3814,415,Truck,1,395.23,22.88,24.79,23.87,30.43,1.27,-1.00,0
173,4.45,1.82,3423,3735,313,Car,1,402.88,30.93,33.84,32.29,24.03,0.74,13.87,1
174,4.55,2.02,3427,3735,309,Car,2,410.00,32.75,33.76,33.29,32.35,0.98,33.24,0
175,4.95,1.92,3444,3750,307,Car,2,409.54,32.75,34.26,33.45,15.34,0.47,21.67,0
176,16.37,2.50,3445,3872,428,Truck,1,407.02,22.85,25.08,23.84,24.10,1.01,54.36,0
177,5.26,1.92,3459,3773,315,Car,1,408.85,31.97,33.62,32.56,41.64,1.27,87.19,0
178,4.55,1.92,3472,3823,352,Car,1,407.72,26.48,30.72,29.06,11.93,0.42,3.03,1
179,4.95,2.02,3475,3788,314,Car,1,409.88,32.13,33.78,32.75,14.53,0.44,23.37,0
180,4.95,2.12,3483,3775,293,Car,2,410.00,34.18,35.65,35.12,28.84,0.83,15.08,0
181,16.98,2.50,3546,3936,391,Truck,1,386.54,23.68,25.90,24.79,62.46,2.41,45.70,0
182,4.85,1.97,3573,3870,298,Car,2,400.89,29.99,36.28,33.77,122.80,3.97,161.22,0
183,2.83,1.82,3592,3908,317,Car,2,398.73,29.66,33.11,31.56,19.17,0.64,-1.00,1
184,17.08,2.50,3625,4009,385,Truck,2,371.23,23.24,25.04,24.19,62.17,2.54,-1.00,0
185,5.05,1.92,3630,3946,317,Car,2,402.18,29.94,34.42,31.84,41.50,1.37,127.97,0
186,4.55,1.92,3661,3987,327,Car,2,408.76,29.15,32.43,31.36,31.67,1.08,-1.00,0
187,9.10,2.50,3667,4090,424,Truck,2,406.12,22.80,25.61,24.01,65.74,2.87,-1.00,0
188,4.45,1.92,3687,4017,331,Car,2,409.15,27.84,34.19,31.02,26.43,0.95,30.35,0
189,4.24,1.82,3694,4074,381,Car,2,410.01,23.80,30.19,26.98,15.29,0.59,6.59,1
190,16.07,2.50,3718,4182,465,Truck,1,407.23,20.97,22.90,21.95,158.03,6.93,-1.00,0
191,16.67,2.50,3745,4165,421,Truck,1,408.06,23.35,25.34,24.30,295.81,11.69,-1.00,0
192,4.85,2.12,3759,4178,420,Car,1,408.40,23.39,25.43,24.38,7.84,0.32,19.57,0
193,4.95,2.02,3778,4198,421,Car,1,410.27,23.58,25.79,24.43,13.43,0.56,13.67,0
194,4.45,1.92,3790,4179,390,Car,2,408.19,24.69,29.80,26.26,89.55,3.46,49.43,0
195,16.98,2.50,3808,4272,465,Truck,1,407.47,21.03,23.09,21.97,59.46,2.79,112.92,0
196,4.85,2.02,3810,4227,418,Car,1,409.86,23.71,25.60,24.58,22.85,0.94,34.33,0
197,6.47,2.43,3815,4141,327,Car,2,408.76,30.02,33.02,31.36,82.19,2.55,28.61,0
198,4.85,2.02,3838,4165,328,Car,2,407.41,29.67,31.84,31.16,21.02,0.66,47.49,0
199,4.24,1.92,3855,4181,327,Car,2,401.30,28.82,31.87,30.79,17.00,0.59,84.02,0
200,4.85,1.92,3863,4260,398,Car,1,409.73,23.65,30.61,25.80,26.66,1.11,9.57,0
201,4.35,1.92,3872,4205,334,Car,2,409.81,28.31,32.22,30.78,14.70,0.52,6.00,0
202,4.85,1.92,3896,4281,386,Car,1,409.21,23.19,31.43,26.57,13.11,0.54,7.94,0
203,4.24,1.92,3919,4311,393,Car,1,409.95,23.46,30.36,26.15,23.30,0.82,48.70,0
204,5.46,2.12,3932,4256,325,Car,2,409.87,30.02,34.41,31.65,61.47,1.92,54.97,0
205,16.88,2.50,3935,4355,421,Truck,2,407.52,23.20,25.60,24.27,131.70,5.67,-1.00,0
206,15.26,2.50,3959,4366,408,Truck,1,405.53,23.74,26.07,24.92,76.84,3.17,23.92,0
207,4.55,1.92,3967,4292,326,Car,2,407.58,29.13,34.05,31.37,35.92,1.23,111.30,0
208,4.24,1.82,3968,4391,424,Car,2,409.38,23.39,25.48,24.20,28.14,1.19,100.18,0
209,5.05,1.92,3982,4339,358,Car,1,409.78,23.25,36.83,28.71,21.17,0.88,5.22,0
210,4.55,1.82,3998,4329,332,Car,2,409.24,29.20,33.39,30.92,32.86,1.12,-1.00,0
211,2.83,1.72,4007,4415,409,Car,2,408.87,24.40,26.22,25.06,18.96,0.76,10.25,0
212,4.65,2.02,4024,4354,331,Car,2,408.98,29.67,33.17,30.99,21.94,0.73,17.27,0
213,4.45,1.92,4027,4373,347,Car,1,409.82,22.47,39.73,29.62,24.79,1.02,7.09,0
214,4.55,2.02,4094,4389,296,Car,2,408.30,33.11,36.77,34.62,44.96,1.31,10.71,0
215,5.15,1.82,4102,4452,351,Car,1,407.79,27.01,31.66,29.14,87.59,3.14,21.11,0
216,4.75,2.02,4108,4449,342,Car,2,408.49,28.33,30.83,29.97,34.54,1.19,8.37,0
217,4.75,2.12,4142,4422,281,Car,2,411.08,36.03,37.70,36.74,41.23,1.14,15.14,0
218,4.35,1.92,4184,4575,392,Car,2,409.54,25.10,27.30,26.20,88.60,3.27,-1.00,0
219,3.94,1.82,4214,4570,357,Car,1,410.51,28.51,29.70,28.84,130.18,4.55,82.85,0
220,4.95,1.92,4227,4591,365,Car,2,401.35,27.19,28.23,27.58,21.00,0.76,8.91,0
221,7.28,2.32,4293,4604,312,Car,1,409.43,29.58,36.08,32.92,33.80,1.12,10.07,0
222,4.45,1.92,4301,4635,335,Car,2,408.80,28.59,31.45,30.63,38.64,1.31,13.30,0
223,3.74,1.82,4321,4598,278,Car,1,409.00,36.56,37.68,36.93,326.67,8.73,22.03,0
224,5.26,2.02,4360,4613,254,Car,1,409.86,36.57,47.47,40.51,16.90,0.46,4.68,0
225,4.85,1.92,4379,4697,319,Car,2,408.96,30.51,33.77,32.16,77.90,2.35,17.05,0
226,14.45,2.50,4384,4821,438,Truck,1,408.14,22.42,24.42,23.36,114.57,4.70,-1.00,0
227,12.33,2.50,4519,4935,417,Truck,2,397.74,22.69,25.22,23.90,28.61,1.21,-1.00,0
228,4.65,1.92,4530,4819,290,Car,2,409.36,33.78,36.83,35.44,174.44,4.86,81.80,1
229,4.85,2.02,4541,4973,433,Car,2,408.61,22.41,24.35,23.65,27.20,1.21,-1.00,0
230,4.55,1.92,4561,4991,431,Car,2,410.38,21.51,24.93,23.87,12.16,0.49,15.31,0
231,4.45,2.02,4574,4984,411,Car,2,403.58,19.11,30.28,24.62,5.66,0.19,1.32,1
232,4.95,1.92,4583,4864,282,Car,1,400.05,35.03,37.27,35.60,62.22,1.77,4.88,1
233,4.85,2.02,4597,4839,243,Car,1,407.83,40.41,43.97,42.15,376.11,8.56,51.42,0
234,4.65,2.02,4602,4887,286,Car,2,409.73,33.60,38.77,35.97,91.75,2.71,-1.00,0
235,4.75,2.12,4636,4921,286,Car,2,410.06,33.53,38.17,35.98,41.96,1.23,-1.00,0
236,4.85,2.02,4666,4948,283,Car,2,410.11,34.77,37.65,36.38,33.63,0.92,44.13,0
237,4.14,1.82,4691,4937,247,Car,1,410.57,39.88,43.55,41.74,109.86,2.67,17.12,0
238,5.76,2.12,4706,5053,348,Car,2,409.86,26.87,31.08,29.54,52.43,1.94,22.97,1
239,4.24,1.82,4767,5035,269,Car,1,403.06,36.67,38.77,37.61,126.47,3.27,-1.00,0
240,4.85,1.92,4790,5025,236,Car,1,407.56,42.40,43.85,43.39,268.85,6.18,33.39,0
241,4.45,2.02,4829,5161,333,Car,2,409.69,29.96,31.70,30.86,131.07,4.30,34.04,1
242,17.48,2.50,4882,5257,376,Truck,2,374.32,23.79,25.81,24.97,19.07,0.78,-1.00,0
243,17.03,2.50,4896,5313,418,Truck,1,408.42,23.39,25.70,24.50,179.31,6.97,-1.00,0
244,17.28,2.50,4927,5339,413,Truck,2,410.17,23.81,26.19,24.90,61.15,2.56,-1.00,0
245,4.95,2.22,4939,5267,329,Car,2,408.87,29.91,32.34,31.17,263.31,8.60,-1.00,0
246,4.75,2.02,4941,5285,345,Car,1,409.70,26.78,32.43,29.79,21.90,0.73,4.14,1
247,4.95,2.12,4957,5284,328,Car,2,410.68,30.40,32.42,31.41,15.39,0.47,29.29,0
248,6.27,2.32,4972,5287,316,Car,2,400.03,31.18,32.59,31.76,8.45,0.26,13.96,0
