id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
249,4.95,2.02,5000,5319,320,Car,2,411.70,31.23,33.09,32.28,25.32,0.77,20.67,0
250,16.98,2.50,5009,5420,412,Truck,2,409.22,23.65,26.28,24.90,60.73,2.56,-1.00,0
251,4.14,2.02,5042,5349,308,Car,2,408.99,31.38,35.68,33.32,39.78,1.12,13.01,0
252,4.75,2.02,5096,5392,297,Car,2,402.62,33.40,35.28,34.03,58.94,1.76,34.71,0
253,4.45,1.82,5118,5407,290,Car,1,401.69,34.17,35.53,34.76,131.03,3.80,11.83,0
254,4.85,2.53,5145,5443,299,Car,2,408.57,33.38,35.64,34.29,58.30,1.69,118.39,0
255,15.16,2.50,5152,5584,433,Truck,2,407.79,22.70,24.69,23.61,123.01,5.41,-1.00,0
256,9.60,2.50,5165,5548,384,Truck,1,395.67,24.51,26.92,25.84,57.10,2.12,-1.00,0
257,4.55,2.22,5172,5463,292,Car,2,409.97,33.57,36.01,35.24,24.11,0.67,18.83,0
258,4.45,1.92,5224,5534,311,Car,2,400.29,29.61,34.06,32.29,22.89,0.71,2.69,1
259,4.95,2.32,5271,5560,290,Car,2,408.55,33.54,36.04,35.36,21.61,0.61,10.15,0
260,5.26,2.12,5294,5512,219,Car,1,404.17,44.11,47.93,46.36,-1.00,-1.00,-1.00,0
261,4.14,1.82,5294,5586,293,Car,2,411.37,33.33,36.42,35.24,29.65,0.89,37.10,0
262,10.41,2.50,5306,5710,405,Truck,2,394.86,23.38,26.93,24.45,87.39,3.73,802.30,0
263,4.04,1.92,5331,5630,300,Car,2,410.39,31.45,37.65,34.34,44.98,1.43,506.23,0
264,8.79,2.50,5369,5793,425,Truck,2,407.11,23.09,24.96,24.03,49.66,2.12,-1.00,0
265,4.14,1.92,5397,5706,310,Car,2,411.13,31.00,35.03,33.27,79.57,2.56,-1.00,0
266,7.78,2.50,5414,5832,419,Truck,2,409.06,22.43,25.22,24.50,31.75,1.26,32.34,0
267,5.05,2.12,5437,5749,313,Car,2,410.67,30.34,35.35,32.92,45.50,1.50,-1.00,0
268,4.14,1.92,5437,5858,422,Car,2,410.30,22.62,25.76,24.38,15.56,0.67,20.45,0
269,4.95,2.12,5457,5784,328,Car,2,410.26,29.96,33.81,31.38,19.17,0.64,-1.00,0
270,3.84,1.82,5470,5766,297,Car,1,410.98,33.01,36.43,34.73,281.43,7.90,25.30,0
271,6.06,2.32,5476,5806,331,Car,2,409.05,28.48,32.77,31.02,14.28,0.50,32.26,0
272,4.55,2.12,5514,5831,318,Car,2,412.11,31.97,33.43,32.52,27.86,0.84,11.46,0
273,5.05,2.22,5525,5868,344,Car,1,410.60,28.58,30.88,29.94,74.75,2.42,-1.00,0
274,3.74,1.82,5553,5914,362,Car,2,406.96,26.51,29.94,28.18,63.43,2.17,18.32,0
275,6.16,2.32,5639,5977,339,Car,1,409.51,28.78,31.71,30.30,120.37,4.06,90.35,0
276,4.14,1.82,5654,6027,374,Car,2,411.05,25.90,28.85,27.54,108.68,4.14,-1.00,0
277,4.35,1.82,5683,5989,307,Car,1,401.75,31.89,34.05,32.84,18.56,0.58,5.80,0
278,3.94,1.92,5690,6058,369,Car,2,410.75,26.61,29.03,27.92,31.57,1.09,60.53,0
279,4.55,2.02,5697,5962,266,Car,2,407.22,36.89,40.39,38.45,202.98,5.30,40.99,0
280,4.55,2.02,5717,5991,275,Car,2,392.60,33.77,37.10,35.82,27.03,0.80,-1.00,0
281,4.55,2.02,5736,6031,296,Car,2,409.94,34.30,35.60,34.76,22.10,0.63,62.78,0
282,7.48,2.50,5740,6149,410,Truck,1,407.81,24.62,25.25,24.93,69.89,2.82,-1.00,0
283,4.65,2.02,5757,6057,301,Car,2,409.76,33.61,34.77,34.16,23.04,0.66,344.88,0
284,5.26,2.02,5775,5940,166,Car,1,407.77,59.60,64.00,61.82,-1.00,-1.00,-1.00,0
285,4.85,2.02,5794,6078,285,Car,2,403.26,33.16,36.61,35.51,30.06,0.90,7.01,0
286,4.45,1.82,5941,6164,224,Car,1,411.40,44.19,47.79,46.13,-1.00,-1.00,-1.00,0
287,5.05,2.02,6056,6283,228,Car,2,410.71,44.07,45.83,45.26,404.75,8.94,35.97,1
288,17.18,2.50,6060,6475,416,Truck,1,387.19,22.28,24.23,23.34,301.77,12.47,-1.00,0
289,4.85,1.92,6067,6322,256,Car,2,410.52,39.41,40.82,40.28,36.80,0.91,60.33,0
290,4.14,1.92,6180,6447,268,Car,2,402.72,35.60,39.67,37.72,175.62,4.93,-1.00,0
291,5.66,2.12,6191,6500,310,Car,1,409.16,31.13,34.40,33.11,-1.00,-1.00,-1.00,0
292,4.35,1.82,6211,6526,316,Car,2,408.81,31.12,34.55,32.46,39.38,1.26,-1.00,0
293,4.65,2.02,6239,6451,213,Car,2,410.97,46.71,50.09,48.52,-1.00,-1.00,-1.00,0
294,5.05,1.92,6271,6535,265,Car,2,401.80,36.40,40.05,38.07,17.73,0.44,3.29,1
295,17.18,2.50,6311,6735,425,Truck,1,408.05,22.99,25.25,24.07,207.82,8.53,98.49,0
296,7.07,2.22,6376,6723,348,Car,2,410.59,28.23,31.96,29.60,148.62,5.26,-1.00,0
297,5.26,2.02,6390,6645,256,Car,1,410.92,38.87,41.68,40.30,222.87,5.51,23.95,0
298,4.55,1.92,6410,6676,267,Car,1,410.25,37.70,39.64,38.57,29.29,0.74,-1.00,0
299,5.26,2.12,6415,6771,357,Car,2,409.73,27.46,29.77,28.78,38.58,1.40,-1.00,0
300,4.45,2.02,6433,6704,272,Car,2,401.45,35.83,38.62,37.06,247.39,6.76,-1.00,0
301,16.98,2.50,6450,6849,400,Truck,1,388.43,23.20,25.59,24.35,109.95,4.61,107.89,0
302,4.65,1.92,6465,6727,263,Car,1,408.17,37.71,40.25,38.97,72.13,1.89,60.00,0
303,5.86,2.12,6479,6851,373,Car,1,409.56,26.21,29.48,27.53,11.41,0.42,3.73,1
304,4.65,1.92,6485,6758,274,Car,1,411.81,36.81,38.32,37.76,30.49,0.80,-1.00,0
305,4.04,1.82,6512,6802,291,Car,1,408.88,34.82,36.10,35.26,33.87,0.94,-1.00,0
306,7.18,2.83,6527,6921,395,Car,1,410.00,25.08,28.66,26.02,38.23,1.42,20.09,0
307,5.15,2.12,6533,6863,331,Car,2,402.07,29.01,31.96,30.47,118.54,3.81,72.41,0
308,4.04,1.82,6543,6814,272,Car,2,409.43,36.76,38.41,37.80,155.54,4.08,5255.83,0
309,4.90,1.92,6596,6865,270,Car,2,408.65,37.26,39.22,38.00,71.46,1.87,70.88,0
310,4.65,1.92,6609,6919,311,Car,2,410.84,32.03,34.34,33.15,62.99,1.87,32.09,0
311,4.55,1.92,6612,6876,265,Car,2,411.97,37.67,39.93,39.03,9.85,0.25,5.85,0
312,4.65,2.02,6655,6908,254,Car,2,406.29,39.35,40.72,40.17,47.87,1.19,25.12,0
313,4.55,1.92,6761,7067,307,Car,2,410.78,32.46,34.33,33.58,193.40,5.75,5584.98,0
314,5.26,2.02,6852,7147,296,Car,2,399.01,32.74,35.47,33.85,111.45,3.34,415.75,0
315,5.26,2.02,6870,7106,237,Car,2,401.64,38.54,45.39,42.58,39.52,1.00,-1.00,0
316,5.15,2.02,6893,7069,177,Car,2,330.16,43.13,48.12,46.88,297.56,6.74,62.11,0
317,4.75,1.82,6961,7249,289,Car,1,408.28,33.01,38.06,35.45,-1.00,-1.00,-1.00,0
318,5.15,1.92,6962,7307,346,Car,2,410.67,28.22,31.68,29.77,143.40,5.08,-1.00,1
319,10.00,2.50,6981,7419,439,Truck,2,401.90,21.85,24.05,22.95,18.64,0.80,-1.00,0
320,9.40,2.50,7005,7397,393,Truck,1,396.33,24.22,26.32,25.29,57.03,2.17,-1.00,0
321,5.05,2.02,7030,7356,327,Car,2,409.13,30.64,32.11,31.39,58.18,1.81,36.21,1
322,4.95,1.92,7091,7382,292,Car,2,400.04,32.07,35.73,34.38,37.36,1.07,3.20,1
323,5.56,2.12,7306,7609,304,Car,2,407.96,32.74,34.49,33.68,250.64,7.38,25.29,0
324,5.05,2.12,7345,7569,225,Car,1,410.29,43.57,47.56,45.82,293.67,6.22,12.75,0
325,6.87,2.27,7486,7744,259,Car,1,410.21,38.39,40.99,39.77,256.17,6.25,-1.00,0
326,4.24,1.82,7502,7768,267,Car,1,409.22,37.21,39.82,38.48,20.80,0.52,-1.00,0
327,4.85,1.92,7518,7792,275,Car,1,408.42,35.54,39.18,37.29,20.26,0.51,-1.00,0
328,4.65,1.82,7543,7783,241,Car,1,408.68,40.61,43.74,42.60,-1.00,-1.00,-1.00,0
329,15.36,2.50,7572,7972,401,Truck,1,406.76,24.13,26.62,25.43,22.56,0.90,-1.00,0
330,5.15,1.92,7625,7905,281,Car,1,409.45,34.27,38.28,36.58,46.99,1.23,3.94,2
331,4.45,2.02,7671,7958,288,Car,2,409.60,33.73,37.79,35.70,-1.00,-1.00,-1.00,0
332,4.75,2.02,7687,7967,281,Car,1,409.95,35.90,37.19,36.62,60.13,1.63,5.10,1
333,5.26,2.12,7724,8091,368,Car,2,408.92,26.97,30.06,27.87,66.83,2.47,-1.00,0
334,5.05,1.92,7738,8020,283,Car,2,398.42,33.63,37.25,35.34,-1.00,-1.00,-1.00,0
335,6.37,2.32,7747,8011,265,Car,1,406.96,36.34,39.90,38.56,58.41,1.57,26.87,0
336,3.54,1.72,7748,8061,314,Car,1,407.89,31.06,34.19,32.60,84.21,2.47,14.37,0
337,4.85,2.02,7765,8029,265,Car,1,410.16,37.01,39.78,38.86,21.45,0.57,22.22,0
338,4.14,1.82,7777,8063,287,Car,2,399.99,32.92,35.71,34.98,49.03,1.48,-1.00,0
339,4.65,1.92,7796,8110,315,Car,1,409.81,31.89,33.28,32.64,57.93,1.80,53.74,0
340,5.36,1.82,7802,8091,290,Car,2,407.22,33.26,36.76,35.25,28.86,0.82,50.28,0
341,19.40,2.50,7878,8309,432,Truck,2,408.60,22.59,24.87,23.71,26.12,1.09,-1.00,0
342,4.75,1.92,7892,8234,343,Car,2,402.44,28.15,30.17,29.43,117.63,4.18,-1.00,1
343,4.45,1.82,7893,8217,325,Car,1,407.97,29.83,33.03,31.49,122.25,3.70,-1.00,0
344,4.75,1.92,7901,8167,267,Car,1,408.82,38.21,38.70,38.44,206.40,5.38,158.80,0
345,3.84,1.92,7930,8257,328,Car,2,400.93,27.52,35.22,30.67,37.48,1.22,25.34,0
346,4.75,1.92,7955,8303,349,Car,2,409.30,27.33,30.69,29.42,23.66,0.86,-1.00,0
347,17.18,2.50,7959,8390,432,Truck,2,407.81,22.58,24.83,23.66,56.43,2.49,-1.00,0
348,10.61,2.50,7960,8362,403,Truck,1,405.97,24.26,26.59,25.26,76.84,2.89,-1.00,0
349,4.04,1.92,7981,8325,345,Car,2,408.88,27.54,32.28,29.73,23.59,0.75,13.45,0
350,4.75,1.92,8007,8351,345,Car,2,409.60,27.78,32.30,29.78,24.19,0.86,60.73,0
351,5.05,1.92,8026,8373,348,Car,2,409.02,27.87,32.59,29.49,15.58,0.55,32.62,0
352,5.05,1.92,8046,8407,362,Car,2,408.17,26.90,30.06,28.28,17.15,0.63,64.78,0
353,17.08,2.50,8053,8483,431,Truck,2,407.55,22.51,25.25,23.70,67.23,2.98,-1.00,0
354,4.85,2.02,8073,8435,363,Car,2,406.80,27.42,29.09,28.10,20.84,0.75,43.18,0
355,4.95,1.92,8100,8364,265,Car,1,410.46,36.83,39.64,38.89,300.47,7.59,305.81,0
356,8.29,2.50,8106,8516,411,Truck,1,396.75,23.53,25.11,24.20,144.12,5.74,-1.00,0
357,4.75,1.92,8120,8386,267,Car,1,407.79,37.25,41.43,38.35,22.46,0.56,11.28,0
358,4.45,1.82,8122,8462,341,Car,2,408.88,28.36,32.16,30.08,27.99,0.94,8.28,0
359,6.27,2.22,8153,8450,298,Car,1,409.17,33.83,34.97,34.46,13.48,0.39,1.35,1
360,4.65,1.92,8158,8493,336,Car,2,400.91,27.51,31.21,29.94,37.01,1.31,19.12,0
361,4.85,1.92,8190,8403,214,Car,1,342.77,38.59,43.38,40.24,20.89,0.54,7.38,0
362,5.05,2.02,8190,8483,294,Car,1,407.50,33.18,37.22,34.79,34.52,0.99,15.81,0
363,5.26,2.02,8192,8543,352,Car,2,409.55,26.33,31.27,29.19,33.89,1.28,33.16,0
364,10.00,2.12,8209,8615,407,Car,2,395.63,22.95,26.52,24.37,134.12,5.53,-1.00,0
365,4.65,2.02,8214,8572,359,Car,2,411.14,26.02,31.43,28.72,18.21,0.70,-1.00,0
366,4.75,1.82,8238,8661,424,Car,2,409.46,22.94,25.80,24.21,23.18,0.96,65.90,0
367,3.64,1.72,8246,8601,356,Car,2,397.94,25.27,29.35,28.02,17.66,0.69,-1.00,0
368,5.05,2.02,8309,8641,333,Car,2,410.03,30.15,31.24,30.89,43.62,1.43,16.33,0
369,6.06,2.53,8382,8704,323,Car,2,409.52,30.92,33.13,31.81,76.21,2.36,35.34,0
370,4.85,1.92,8412,8663,252,Car,1,409.87,38.82,42.88,40.85,284.37,6.81,32.57,0
371,5.05,2.02,8420,8764,345,Car,2,407.59,29.03,30.09,29.64,39.64,1.36,26.03,1
372,4.35,1.92,8425,8798,374,Car,1,409.08,26.51,29.53,27.43,288.23,10.18,53.73,0
373,9.30,2.12,8449,8802,354,Car,2,397.23,27.19,28.58,28.14,26.20,0.96,-1.00,1
374,18.60,2.50,8468,8851,384,Truck,2,369.63,23.14,25.22,24.15,11.85,0.48,-1.00,0
375,5.05,2.02,8500,8704,205,Car,1,400.34,44.65,51.69,49.09,77.66,1.67,9.72,0
376,4.85,2.02,8503,8798,296,Car,1,402.96,31.12,39.40,34.17,11.94,0.37,2.41,1
377,4.45,1.92,8538,8778,241,Car,1,409.63,40.76,44.37,42.70,73.99,1.68,-1.00,0
378,3.84,1.82,8565,8953,389,Car,2,408.18,25.96,26.79,26.32,103.88,3.97,50.90,0
379,11.32,2.73,8598,9004,407,Car,1,407.85,24.48,25.77,25.12,29.72,1.16,-1.00,0
380,4.50,1.82,8604,8907,304,Car,1,408.36,31.13,35.41,33.71,111.62,3.15,21.22,1
381,4.55,1.92,8627,8925,299,Car,2,409.51,33.22,35.93,34.37,27.74,0.81,3.62,1
382,4.55,1.92,8649,9055,407,Car,1,408.42,24.20,26.15,25.15,44.82,1.81,46.11,0
383,4.65,2.02,8664,8947,284,Car,1,409.98,35.87,36.60,36.23,76.71,2.12,41.54,0
384,4.95,1.92,8692,9044,353,Car,2,409.10,28.21,29.94,29.06,81.67,2.88,38.70,0
385,4.85,1.92,8694,8975,282,Car,1,409.70,35.73,37.87,36.47,35.67,0.97,24.58,0
386,3.84,1.72,8702,8974,273,Car,2,406.40,35.03,39.56,37.36,73.24,1.90,27.96,0
387,4.95,2.02,8722,9002,281,Car,2,409.79,34.73,37.07,36.59,25.52,0.73,-1.00,0
388,4.75,2.02,8751,9031,281,Car,2,407.48,34.60,36.97,36.40,35.24,1.02,182.10,0
389,4.85,1.92,8779,9089,311,Car,2,409.10,32.64,33.35,33.01,53.79,1.64,18.15,0
390,17.28,2.50,8818,9222,405,Truck,1,406.21,23.82,26.42,25.15,146.84,5.77,118.11,0
391,4.95,1.82,8822,9058,237,Car,1,409.98,39.96,47.48,43.45,129.41,3.10,15.71,0
392,4.75,1.92,8823,9108,286,Car,2,408.77,33.55,38.49,35.88,98.41,2.93,159.64,0
393,5.05,1.92,8847,9134,288,Car,2,408.96,34.42,36.39,35.64,26.23,0.73,44.11,0
394,4.24,1.82,8910,9243,334,Car,2,408.33,30.27,30.94,30.67,81.75,2.68,-1.00,1
395,16.88,2.50,8910,9323,414,Truck,2,408.29,23.73,25.92,24.73,24.19,0.99,-1.00,0
396,16.57,2.50,8964,9384,421,Truck,2,406.69,23.68,25.89,24.22,33.65,1.41,-1.00,0
397,4.65,1.92,8972,9306,335,Car,2,409.65,29.23,32.45,30.68,72.10,2.46,-1.00,0
398,7.48,2.50,8997,9323,327,Truck,2,408.16,28.91,33.44,31.32,15.19,0.45,19.68,0
399,4.95,2.12,9017,9346,330,Car,2,409.40,29.38,33.77,31.12,18.98,0.64,38.30,0
400,4.04,1.82,9031,9363,333,Car,2,410.36,29.05,33.95,30.92,12.74,0.43,47.48,0
401,9.50,2.50,9038,9438,401,Truck,1,395.53,23.65,25.68,24.73,367.08,14.34,-1.00,1
402,16.78,2.50,9048,9516,469,Truck,1,408.28,20.72,22.71,21.81,16.93,0.77,-1.00,0
403,4.95,1.92,9054,9386,333,Car,2,409.51,28.20,33.68,30.86,21.78,0.77,77.49,0
404,4.85,1.92,9073,9412,340,Car,2,409.09,28.52,33.31,30.18,15.40,0.54,103.59,0
405,4.75,1.82,9083,9539,457,Car,1,409.42,21.60,24.35,22.45,15.71,0.72,14.67,0
406,4.55,1.82,9085,9422,338,Car,1,402.86,28.54,32.20,29.89,12.27,0.43,3.08,0
407,17.18,2.50,9116,9524,409,Truck,2,408.60,23.94,26.07,25.05,38.21,1.49,226.78,0
408,5.26,2.02,9129,9445,317,Car,1,408.55,31.70,33.73,32.34,17.87,0.55,8.71,0
409,4.75,2.02,9130,9454,325,Car,2,402.14,30.04,32.01,31.05,54.45,1.72,39.28,1
410,3.94,1.82,9130,9538,409,Car,2,408.97,24.17,25.88,25.06,10.05,0.39,45.74,0
411,4.45,1.92,9154,9479,326,Car,2,409.11,29.76,34.68,31.49,23.43,0.74,40.37,0
412,5.26,1.92,9156,9464,309,Car,1,410.09,32.55,34.12,33.30,19.28,0.57,9.98,0
413,5.05,1.92,9173,9502,330,Car,2,407.47,28.84,31.73,30.98,16.77,0.58,70.35,0
414,4.14,1.82,9191,9513,323,Car,1,408.78,30.90,32.38,31.75,41.62,1.29,-1.00,0
415,9.60,2.50,9194,9596,403,Truck,1,406.27,24.13,26.38,25.27,46.75,1.90,15.95,0
416,4.55,1.82,9213,9553,341,Car,2,401.60,27.04,32.24,29.55,42.66,1.57,601.72,0
417,6.97,2.73,9222,9619,398,Car,2,406.36,25.11,26.22,25.60,74.40,2.87,78.74,0
418,4.40,1.82,9244,9595,352,Car,2,408.93,26.86,32.81,29.14,28.71,1.06,-1.00,0
419,6.47,2.32,9260,9611,352,Car,2,408.29,26.83,32.24,29.10,9.89,0.36,24.86,0
420,4.45,1.82,9290,9569,280,Car,1,407.85,33.59,39.11,36.56,71.61,2.07,15.48,0
421,4.45,1.82,9300,9587,288,Car,1,409.77,33.72,39.56,35.70,12.80,0.33,28.36,0
422,4.55,1.82,9306,9660,355,Car,2,409.13,27.85,29.85,28.90,37.54,1.31,15.20,0
423,4.95,1.92,9319,9708,390,Car,2,409.37,25.54,27.01,26.32,90.75,3.39,68.11,0
424,3.94,1.82,9338,9724,387,Car,2,406.93,25.94,26.79,26.36,11.89,0.44,28.15,0
425,4.35,1.92,9350,9691,342,Car,2,409.73,29.00,31.14,30.05,32.42,1.10,13.65,0
426,7.48,2.50,9375,9744,370,Truck,1,396.89,25.71,28.14,26.90,155.50,5.85,55.65,0
427,4.65,1.92,9377,9710,334,Car,2,407.55,28.61,31.94,30.61,15.59,0.53,10.24,0
428,4.55,1.82,9398,9780,383,Car,1,408.55,25.62,28.31,26.75,21.34,0.78,77.30,0
429,4.85,1.92,9415,9745,331,Car,2,406.90,28.24,32.82,30.84,34.91,1.16,16.54,0
430,6.06,2.22,9434,9813,380,Car,1,408.84,25.13,28.46,26.98,27.35,1.05,24.24,0
431,3.84,1.72,9444,9775,332,Car,2,408.37,28.29,32.47,30.85,29.14,1.00,11.08,0
432,5.15,2.12,9448,9702,255,Car,1,406.57,37.48,42.20,40.04,172.72,4.33,25.60,0
433,4.65,1.92,9461,9788,328,Car,2,406.55,28.72,32.30,31.09,9.75,0.33,7.80,0
434,7.38,2.22,9463,9831,369,Car,2,408.07,26.98,28.44,27.73,107.63,3.90,58.35,0
435,4.65,1.92,9475,9736,262,Car,1,409.86,38.33,40.54,39.27,43.06,1.06,53.64,0
436,4.55,1.92,9480,9811,332,Car,2,409.19,27.55,32.10,30.91,20.87,0.66,13.37,0
437,5.26,1.92,9555,9846,292,Car,1,401.44,33.17,35.65,34.50,49.32,1.47,5.94,1
438,4.85,1.92,9798,10093,296,Car,2,408.98,33.76,35.67,34.68,386.87,11.45,62.09,1
439,14.75,2.50,9808,10246,439,Truck,2,407.07,22.14,24.38,23.24,39.64,1.71,-1.00,0
440,4.75,1.82,9817,10094,278,Car,1,408.98,34.78,39.11,36.93,-1.00,-1.00,-1.00,0
441,8.29,2.50,9842,10280,439,Truck,2,407.20,22.03,24.76,23.25,21.51,0.97,242.19,0
442,4.14,1.82,9849,10160,312,Car,2,402.98,31.30,33.70,32.41,65.14,2.08,-1.00,1
443,5.15,2.02,9892,10195,304,Car,2,399.62,31.66,33.99,32.99,44.69,1.33,93.07,0
444,16.78,2.50,9906,10339,434,Truck,2,407.45,22.49,24.40,23.53,39.08,1.63,210.90,0
445,7.68,2.32,9914,10202,289,Car,1,408.32,34.49,36.35,35.46,140.95,3.88,383.33,0
446,5.76,2.22,9953,10401,449,Car,2,408.83,21.87,24.46,22.82,38.32,1.75,-1.00,0
447,4.55,1.92,9956,10230,275,Car,2,409.60,35.51,40.01,37.38,42.80,1.09,8.29,0
448,5.36,2.12,9991,10265,275,Car,2,405.67,35.37,39.23,37.04,40.76,1.15,-1.00,0
449,4.55,1.92,9993,10368,376,Car,2,409.16,25.57,30.31,27.29,10.57,0.40,2.87,1
450,4.65,1.97,10002,10279,278,Car,2,409.18,34.89,40.09,36.96,14.35,0.41,50.16,0
451,4.85,1.92,10017,10297,281,Car,2,409.02,34.34,38.86,36.52,15.14,0.43,28.01,0
452,4.35,1.82,10047,10396,350,Car,2,409.90,27.95,31.75,29.37,23.73,0.78,3.44,1
453,16.57,2.50,10105,10529,425,Truck,1,406.85,22.89,25.08,24.00,255.36,10.18,-1.00,0
454,4.24,1.82,10215,10575,361,Car,2,410.07,27.62,29.59,28.49,188.16,6.74,47.21,1
455,4.45,1.92,10237,10532,296,Car,2,409.66,30.93,37.97,34.74,17.62,0.56,5.14,0
456,5.26,2.02,10260,10552,293,Car,2,409.44,31.26,37.34,35.08,22.39,0.62,376.39,0
457,18.29,2.50,10282,10656,375,Truck,2,368.86,24.04,25.16,24.68,14.82,0.61,-1.00,0
458,5.26,2.02,10288,10584,297,Car,2,411.33,30.17,37.59,34.76,30.44,1.01,-1.00,0
459,13.54,2.53,10293,10707,415,Car,2,408.66,23.93,25.50,24.69,36.87,1.51,154.32,0
460,5.05,1.92,10324,10630,307,Car,2,407.84,29.66,37.95,33.34,37.14,1.25,-1.00,0
461,4.65,1.82,10327,10671,345,Car,1,407.37,29.19,30.42,29.62,161.74,5.53,25.42,0
462,4.24,1.92,10345,10654,310,Car,2,400.16,29.65,37.83,32.40,20.28,0.68,-1.00,0
463,10.81,2.53,10363,10754,392,Car,2,401.51,25.19,26.02,25.68,37.61,1.47,30.36,0
464,4.24,2.02,10392,10711,320,Car,2,408.18,30.10,33.98,32.01,51.46,1.63,147.86,0
465,4.65,1.92,10418,10738,321,Car,2,409.05,29.49,33.39,31.97,27.65,0.90,65.42,0
466,5.15,1.92,10422,10695,274,Car,1,400.57,35.66,37.58,36.70,-1.00,-1.00,-1.00,0
467,4.35,1.82,10437,10722,286,Car,1,409.66,33.17,38.26,35.94,18.51,0.49,11.99,1
468,4.24,1.82,10438,10752,315,Car,1,410.02,31.97,33.39,32.66,20.39,0.62,31.01,0
469,4.85,2.02,10447,10779,333,Car,2,400.42,29.68,31.65,30.17,34.10,1.10,6.04,0
470,4.55,1.92,10452,10762,311,Car,2,408.41,30.06,34.48,32.95,28.63,0.83,23.79,0
471,4.04,1.72,10462,10773,312,Car,2,409.28,28.74,35.40,32.92,8.43,0.29,13.53,0
472,4.85,1.92,10478,10803,326,Car,2,409.07,27.59,34.54,31.48,13.39,0.48,-1.00,0
473,4.24,1.82,10526,10888,363,Car,2,409.19,26.43,30.75,28.27,91.89,3.47,-1.00,0
474,4.24,1.92,10571,10919,349,Car,2,409.11,28.35,30.55,29.40,33.02,1.09,24.51,0
475,17.08,2.50,10606,11007,402,Truck,1,405.41,24.10,26.40,25.28,9.54,0.38,-1.00,0
476,4.75,1.82,10610,10961,352,Car,1,409.91,27.80,30.77,29.21,275.78,9.03,-1.00,1
477,4.04,1.72,10632,10948,317,Car,1,402.65,30.65,33.90,31.86,13.56,0.42,4.17,0
478,3.94,1.82,10655,10985,331,Car,1,409.40,30.16,32.75,31.03,24.43,0.81,1866.30,0
479,17.08,2.50,10702,11107,406,Truck,1,406.23,24.01,26.12,25.08,79.14,3.20,149.38,0
480,5.66,2.12,10739,11028,290,Car,2,405.57,33.36,36.94,35.10,152.81,4.29,30.43,0
481,4.55,1.82,10769,11149,381,Car,2,409.63,25.64,28.54,26.96,39.50,1.54,-1.00,0
482,4.55,2.02,10926,11152,227,Car,2,396.88,41.08,47.27,43.95,28.18,0.61,1.56,1
483,4.35,1.82,10969,11285,317,Car,1,409.20,31.28,34.05,32.38,220.15,6.81,26.53,0
484,4.55,1.92,10987,11275,289,Car,1,407.84,33.86,36.67,35.42,-1.00,-1.00,-1.00,0
485,4.35,1.82,10989,11217,229,Car,2,402.20,42.63,44.66,44.14,105.05,2.36,7.66,1
486,4.14,1.92,11013,11302,290,Car,2,409.47,34.09,37.52,35.44,58.22,1.70,-1.00,0
487,5.15,2.12,11046,11330,285,Car,2,408.56,35.50,37.02,35.99,32.78,0.92,18.37,0
488,4.85,2.12,11071,11306,236,Car,2,400.09,39.26,45.90,42.60,256.79,6.29,-1.00,0
489,4.04,1.82,11112,11456,345,Car,2,407.88,28.13,31.22,29.66,13.88,0.45,-1.00,0
490,5.46,2.12,11143,11376,234,Car,2,408.11,40.13,47.85,43.83,111.68,2.61,-1.00,0
491,4.85,1.92,11146,11431,286,Car,2,399.36,32.32,37.97,35.04,10.36,0.29,1.97,2
492,4.24,2.12,11158,11388,231,Car,2,399.33,40.70,46.12,43.44,17.94,0.44,69.72,0
493,16.88,2.50,11159,11561,403,Truck,1,406.25,24.22,26.35,25.28,28.56,1.13,-1.00,0
494,4.55,2.02,11181,11479,299,Car,1,409.17,32.85,35.83,34.34,270.51,7.64,204.85,1
